age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augmentation_salaire_precedente_pourcent,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
22,M,2935,Divorce,Consulting,Consultant,1,1,1,0,4,4,1,4,2,2,3,Oui,0.13,Non,2,2,16,2,TransformationDigitale,Aucun,0,0
53,F,15427,Marie,Commercial,SeniorManager,2,31,25,8,1,2,4,4,3,3,3,Non,0.16,Non,0,3,2,4,InfraCloud,Occasionnel,3,7
38,M,3944,Celibataire,Consulting,AssistantdeDirection,5,6,3,2,4,3,1,4,3,3,3,Oui,0.11,Non,0,3,2,3,InfraCloud,Occasionnel,1,2
24,F,4011,Divorce,Consulting,TechLead,0,5,4,2,1,4,2,3,4,2,3,Non,0.18,Non,1,5,11,2,Autre,Aucun,1,3
36,M,3407,Celibataire,Commercial,ReprésentantCommercial,7,10,5,3,3,2,1,1,2,3,4,Non,0.23,Oui,0,4,9,4,InfraCloud,Occasionnel,0,3
34,F,11994,Celibataire,Consulting,DirecteurTechnique,0,13,12,6,1,3,3,2,3,3,3,Non,0.11,Non,0,4,7,4,InfraCloud,Occasionnel,2,11
21,M,1232,Celibataire,Consulting,AssistantdeDirection,1,0,0,0,3,3,1,4,4,3,3,Non,0.14,Non,0,6,15,2,InfraCloud,Occasionnel,0,0
34,M,2960,Celibataire,Consulting,AssistantdeDirection,2,8,4,2,2,3,1,1,3,3,3,Non,0.11,Oui,0,2,6,1,TransformationDigitale,Occasionnel,1,3
53,F,19094,Divorce,Consulting,SeniorManager,4,26,14,13,3,3,5,3,4,2,3,Non,0.11,Non,1,3,5,3,Autre,Occasionnel,4,8
32,F,3919,Celibataire,Consulting,AssistantdeDirection,1,10,10,2,2,1,1,1,2,3,4,Oui,0.22,Oui,0,5,16,1,InfraCloud,Frequent,6,7
42,M,6825,Marie,Commercial,CadreCommercial,0,10,9,7,3,3,2,2,4,3,3,Non,0.11,Non,1,2,8,4,Marketing,Occasionnel,4,2
44,F,10248,Marie,Consulting,Manager,3,24,22,6,1,2,3,4,4,3,3,Non,0.14,Non,1,4,7,4,TransformationDigitale,Occasionnel,5,17
46,F,18947,Celibataire,Commercial,SeniorManager,3,22,2,2,2,3,5,1,4,2,3,Non,0.12,Non,0,2,2,4,Marketing,Occasionnel,2,1
33,M,2496,Celibataire,Consulting,Consultant,4,7,1,1,3,3,1,4,4,3,3,Non,0.11,Non,0,3,2,3,TransformationDigitale,Occasionnel,0,0
44,M,6465,Marie,Consulting,Manager,2,9,4,2,4,3,2,4,4,4,3,Oui,0.13,Non,0,5,10,4,Autre,Occasionnel,1,3
30,M,2206,Celibataire,Consulting,Consultant,1,10,10,0,4,2,1,3,1,3,3,Non,0.13,Non,0,5,9,2,TransformationDigitale,Occasionnel,1,8
39,M,2086,Marie,Commercial,ReprésentantCommercial,3,19,1,0,4,3,2,4,3,4,3,Non,0.14,Oui,1,6,5,3,Entrepreunariat,Occasionnel,0,0
24,M,2293,Marie,Consulting,AssistantdeDirection,2,6,2,0,2,3,1,4,1,2,3,Oui,0.16,Oui,1,2,1,3,TransformationDigitale,Occasionnel,2,0
43,F,2645,Divorce,Consulting,AssistantdeDirection,1,6,5,3,4,4,1,3,4,2,3,Non,0.12,Non,2,3,2,2,TransformationDigitale,Occasionnel,1,4
50,M,2683,Marie,Commercial,ReprésentantCommercial,1,3,3,2,1,2,1,3,3,3,3,Oui,0.14,Oui,0,2,3,2,Marketing,Occasionnel,0,2
35,F,2014,Marie,Commercial,ReprésentantCommercial,1,2,2,2,4,3,1,4,1,3,3,Non,0.13,Non,0,3,2,3,Marketing,Occasionnel,2,2
36,F,3419,Marie,Consulting,AssistantdeDirection,9,6,1,1,2,2,1,1,4,4,3,Oui,0.14,Non,1,3,5,4,InfraCloud,Occasionnel,0,0
33,F,5376,Marie,Commercial,CadreCommercial,2,10,5,3,3,4,2,1,1,3,3,Non,0.19,Non,2,3,1,3,InfraCloud,Frequent,1,3
35,M,1951,Divorce,Consulting,Consultant,1,1,1,0,3,3,1,4,3,3,3,Non,0.12,Non,1,3,4,2,Autre,Occasionnel,0,0
27,F,2341,Divorce,Consulting,Consultant,1,1,1,0,4,3,1,1,4,3,3,Non,0.13,Non,1,6,2,4,InfraCloud,Occasionnel,0,0
26,M,2293,Celibataire,Consulting,Consultant,1,1,1,0,1,1,1,3,3,2,3,Non,0.12,Oui,0,2,25,3,InfraCloud,Occasionnel,0,1
27,M,8726,Celibataire,Commercial,CadreCommercial,1,9,9,8,4,3,3,3,4,3,3,Non,0.15,Non,0,0,8,3,InfraCloud,Frequent,1,7
30,F,4011,Celibataire,Consulting,Consultant,1,12,12,8,3,3,2,4,4,3,4,Non,0.23,Non,0,2,1,2,TransformationDigitale,Frequent,3,7
41,F,19545,Marie,Consulting,DirecteurTechnique,1,23,22,15,2,3,5,3,4,3,3,Non,0.12,Oui,0,0,12,3,Entrepreunariat,Occasionnel,15,8
34,M,4568,Celibataire,Commercial,CadreCommercial,0,10,9,5,2,3,2,3,3,3,4,Non,0.2,Non,0,2,23,4,Marketing,Aucun,8,7
37,M,3022,Marie,Consulting,AssistantdeDirection,4,8,1,0,2,3,1,2,1,3,4,Non,0.21,Non,0,1,19,2,InfraCloud,Occasionnel,0,0
46,M,5772,Celibataire,Commercial,CadreCommercial,4,14,9,6,1,3,2,4,3,3,4,Oui,0.21,Non,0,4,5,4,Marketing,Frequent,0,8
35,M,2269,Marie,Consulting,Consultant,1,1,1,0,4,4,1,4,4,3,3,Non,0.19,Non,0,2,8,1,InfraCloud,Occasionnel,0,1
48,M,5381,Celibataire,Consulting,Consultant,9,23,1,0,1,2,3,3,4,3,3,Oui,0.13,Oui,0,2,1,2,InfraCloud,Occasionnel,0,0
28,M,3441,Celibataire,Consulting,Consultant,1,2,2,2,3,3,1,3,3,2,3,Oui,0.13,Oui,0,3,5,4,Entrepreunariat,Occasionnel,2,2
44,F,5454,Divorce,Commercial,CadreCommercial,5,9,4,3,2,3,2,1,3,2,4,Oui,0.21,Non,1,2,1,5,Marketing,Occasionnel,1,3
35,M,9884,Marie,Consulting,Manager,2,10,4,0,3,2,3,1,3,3,3,Oui,0.13,Non,1,3,11,2,TransformationDigitale,Aucun,2,3
26,F,4157,Marie,Commercial,CadreCommercial,7,5,2,2,3,2,2,4,3,2,3,Oui,0.19,Non,1,2,23,3,Marketing,Occasionnel,0,0
33,F,13458,Celibataire,Consulting,DirecteurTechnique,1,15,15,14,1,3,3,4,3,3,3,Oui,0.12,Non,0,1,1,2,InfraCloud,Frequent,8,12
35,M,9069,Marie,Commercial,CadreCommercial,1,9,9,8,2,3,3,1,4,2,4,Non,0.22,Non,1,3,18,5,InfraCloud,Frequent,1,8
35,F,4014,Marie,Consulting,Consultant,3,4,2,2,3,3,1,1,3,3,3,Oui,0.15,Non,1,3,23,4,TransformationDigitale,Occasionnel,2,2
31,M,5915,Divorce,Consulting,Consultant,3,10,7,7,4,3,2,4,4,2,4,Non,0.22,Non,1,3,7,4,InfraCloud,Occasionnel,1,7
37,M,5993,Divorce,Consulting,TechLead,1,7,7,5,1,2,2,3,3,4,3,Non,0.18,Non,1,2,1,4,InfraCloud,Occasionnel,0,7
32,M,6162,Marie,Consulting,TechLead,1,9,9,8,1,3,2,4,2,3,4,Oui,0.22,Non,1,3,1,3,TransformationDigitale,Occasionnel,7,8
38,F,2406,Celibataire,Consulting,Consultant,1,10,10,3,4,3,2,4,4,3,3,Non,0.11,Non,0,2,29,5,InfraCloud,Frequent,9,9
50,F,18740,Divorce,Consulting,DirecteurTechnique,5,29,27,3,2,2,5,3,4,2,3,Oui,0.12,Non,1,2,7,2,TransformationDigitale,Occasionnel,13,8
59,F,7637,Celibataire,Commercial,CadreCommercial,7,28,21,16,1,3,3,1,4,2,3,Non,0.11,Non,0,3,25,3,InfraCloud,Occasionnel,7,9
36,F,10096,Divorce,Consulting,Manager,1,17,17,14,3,3,3,3,2,3,3,Non,0.13,Non,3,2,8,3,Entrepreunariat,Occasionnel,12,8
55,F,14756,Divorce,Consulting,SeniorManager,2,21,5,0,4,3,4,3,3,3,3,Oui,0.14,Non,3,2,8,3,TransformationDigitale,Occasionnel,0,2
36,M,6499,Celibataire,Consulting,TechLead,1,6,6,5,2,2,2,2,3,3,3,Non,0.13,Non,0,3,11,3,InfraCloud,Frequent,0,3
45,M,9724,Divorce,Consulting,AssistantdeDirection,2,25,1,0,2,3,3,1,3,3,3,Non,0.17,Non,1,2,7,3,InfraCloud,Occasionnel,0,0
35,M,2194,Marie,Consulting,AssistantdeDirection,4,5,3,2,2,3,1,1,4,2,3,Non,0.13,Non,1,2,1,3,TransformationDigitale,Frequent,1,2
36,M,3388,Marie,Consulting,AssistantdeDirection,0,2,1,0,4,2,1,3,1,2,3,Oui,0.17,Oui,1,0,9,3,TransformationDigitale,Occasionnel,0,0
59,F,5473,Celibataire,Commercial,CadreCommercial,7,20,4,3,1,2,2,3,4,2,3,Non,0.11,Non,0,2,1,1,InfraCloud,Frequent,1,3
29,M,2703,Marie,Consulting,AssistantdeDirection,0,6,5,4,3,3,1,2,4,3,4,Non,0.23,Non,1,3,2,3,InfraCloud,Occasionnel,0,4
31,M,2501,Celibataire,Consulting,AssistantdeDirection,1,1,1,1,3,3,1,2,2,3,3,Non,0.17,Non,0,4,1,4,TransformationDigitale,Occasionnel,1,0
32,M,6220,Marie,Consulting,AssistantdeDirection,1,10,10,4,2,3,2,2,2,3,3,Non,0.17,Non,2,3,1,3,InfraCloud,Occasionnel,0,9
36,F,3038,Marie,Consulting,Consultant,3,5,1,0,2,4,1,4,2,3,3,Non,0.12,Non,0,3,6,3,InfraCloud,Occasionnel,0,0
31,F,4424,Celibataire,Consulting,TechLead,1,11,11,7,3,3,2,4,4,3,4,Non,0.23,Non,0,2,8,4,InfraCloud,Occasionnel,1,8
35,M,4312,Celibataire,Commercial,CadreCommercial,0,16,15,13,3,2,2,1,2,3,3,Non,0.14,Non,0,2,1,4,Marketing,Occasionnel,2,8
45,M,13245,Marie,Consulting,DirecteurTechnique,4,17,0,0,4,3,3,1,2,4,3,Oui,0.14,Non,0,3,6,4,Autre,Occasionnel,0,0
37,M,13664,Celibataire,Consulting,DirecteurTechnique,4,16,5,2,1,3,3,3,1,4,3,Non,0.13,Non,0,3,7,4,TransformationDigitale,Occasionnel,0,2
46,M,5021,Divorce,RessourcesHumaines,RessourcesHumaines,8,16,4,2,2,3,2,2,4,3,4,Oui,0.22,Non,1,2,5,2,TransformationDigitale,Occasionnel,0,2
30,M,5126,Marie,Consulting,Consultant,1,10,10,8,4,2,2,4,3,2,3,Oui,0.12,Non,2,1,1,1,InfraCloud,Occasionnel,3,0
35,M,2859,Celibataire,Consulting,AssistantdeDirection,1,6,6,4,2,2,1,3,1,3,3,Non,0.18,Non,0,3,1,3,TransformationDigitale,Occasionnel,0,4
55,M,10239,Marie,Commercial,CadreCommercial,3,24,1,0,1,3,3,4,4,3,3,Non,0.14,Non,1,4,1,2,InfraCloud,Occasionnel,1,0
38,F,5329,Divorce,Consulting,AssistantdeDirection,7,17,13,11,2,1,2,4,4,3,3,Oui,0.12,Non,3,3,6,3,TransformationDigitale,Aucun,1,9
34,M,4325,Marie,Consulting,TechLead,1,5,5,2,1,3,2,2,3,3,3,Non,0.15,Non,0,2,1,2,TransformationDigitale,Occasionnel,1,3
56,M,7260,Celibataire,Consulting,TechLead,4,37,6,4,4,1,3,4,1,2,3,Non,0.11,Non,0,3,7,3,InfraCloud,Occasionnel,0,2
23,M,2322,Divorce,Commercial,ReprésentantCommercial,3,3,0,0,3,3,1,1,3,3,3,Non,0.13,Non,1,3,2,1,Entrepreunariat,Occasionnel,0,0
51,M,2075,Marie,Consulting,Consultant,3,10,4,2,4,3,1,4,2,3,4,Non,0.23,Non,2,4,9,4,InfraCloud,Occasionnel,0,3
30,M,4152,Marie,Consulting,Manager,1,11,11,10,3,2,2,4,1,3,3,Non,0.19,Non,3,3,2,3,InfraCloud,Occasionnel,10,8
46,M,9619,Celibataire,Commercial,CadreCommercial,1,9,9,8,3,2,3,4,4,3,3,Non,0.16,Oui,0,3,9,2,TransformationDigitale,Occasionnel,4,7
40,M,13503,Marie,Consulting,Manager,1,22,22,3,3,2,4,2,4,2,4,Non,0.22,Non,1,3,1,4,InfraCloud,Frequent,11,11
51,M,5441,Celibataire,Commercial,CadreCommercial,0,11,10,7,3,3,2,4,4,1,4,Oui,0.22,Non,0,2,21,4,Marketing,Occasionnel,1,0
30,F,5209,Divorce,Commercial,CadreCommercial,1,11,11,8,3,2,2,2,2,2,3,Oui,0.12,Non,3,4,4,2,TransformationDigitale,Occasionnel,2,7
46,M,10673,Marie,Consulting,Manager,2,21,10,9,3,2,3,1,3,2,3,Oui,0.13,Non,1,5,1,3,TransformationDigitale,Frequent,9,5
32,M,5010,Celibataire,Commercial,CadreCommercial,1,12,11,8,2,3,2,3,1,3,3,Non,0.16,Non,0,0,6,4,TransformationDigitale,Occasionnel,5,7
54,F,13549,Marie,Consulting,DirecteurTechnique,9,16,4,3,1,3,3,3,1,1,3,Non,0.12,Non,1,5,2,4,Entrepreunariat,Occasionnel,0,3
24,F,4999,Marie,Commercial,CadreCommercial,0,4,3,2,1,3,2,3,1,2,4,Non,0.21,Non,1,2,3,2,Autre,Occasionnel,0,2
28,M,4221,Marie,Commercial,CadreCommercial,1,5,5,4,2,3,2,3,2,4,3,Non,0.15,Non,0,3,4,3,TransformationDigitale,Aucun,0,4
58,M,13872,Celibataire,Commercial,CadreCommercial,0,38,37,10,4,3,4,3,3,2,3,Non,0.13,Non,0,1,10,4,TransformationDigitale,Occasionnel,1,8
44,M,2042,Marie,Consulting,Consultant,4,17,3,2,2,3,2,2,3,4,3,Non,0.12,Non,1,3,23,3,TransformationDigitale,Aucun,1,2
37,M,2073,Divorce,RessourcesHumaines,RessourcesHumaines,4,7,3,2,3,3,1,1,4,3,4,Oui,0.22,Oui,0,3,6,4,RessourcesHumaines,Occasionnel,0,2
32,M,2956,Celibataire,Consulting,AssistantdeDirection,1,1,1,0,4,3,1,1,4,3,3,Non,0.13,Non,0,2,1,1,InfraCloud,Occasionnel,0,0
20,F,2926,Celibataire,Consulting,Consultant,1,1,1,0,4,2,1,4,2,3,3,Oui,0.18,Oui,0,5,6,3,InfraCloud,Frequent,1,0
34,F,4809,Celibataire,Consulting,AssistantdeDirection,1,16,16,13,1,3,2,3,3,3,3,Non,0.14,Non,0,3,6,4,Autre,Occasionnel,2,10
37,M,5163,Divorce,Consulting,Manager,5,17,1,0,3,2,2,4,4,4,3,Non,0.14,Non,1,2,2,2,InfraCloud,Aucun,0,0
59,F,18844,Marie,RessourcesHumaines,SeniorManager,9,30,3,2,3,2,5,4,4,3,4,Non,0.21,Non,1,3,2,4,RessourcesHumaines,Aucun,2,2
50,F,18172,Marie,Consulting,DirecteurTechnique,3,28,8,3,1,3,5,2,1,2,3,Oui,0.19,Non,0,1,1,3,InfraCloud,Frequent,0,7
25,M,5744,Celibataire,Commercial,CadreCommercial,1,6,6,4,3,2,2,3,4,3,3,Oui,0.11,Oui,0,1,5,3,Marketing,Occasionnel,0,3
25,M,2889,Marie,Consulting,AssistantdeDirection,1,2,2,2,4,2,1,4,3,3,3,Non,0.11,Non,2,2,7,1,TransformationDigitale,Occasionnel,2,1
22,F,2871,Celibataire,Consulting,Consultant,1,1,0,0,2,3,1,4,3,3,3,Non,0.15,Non,0,5,15,3,TransformationDigitale,Occasionnel,0,0
51,F,7484,Celibataire,Consulting,Manager,3,23,13,12,1,2,3,1,3,2,4,Non,0.2,Non,0,1,1,4,TransformationDigitale,Frequent,12,8
34,M,6074,Celibataire,Consulting,Consultant,1,9,9,7,1,1,2,3,4,3,4,Oui,0.24,Oui,0,3,7,3,InfraCloud,Frequent,0,6
54,F,17328,Celibataire,RessourcesHumaines,SeniorManager,2,23,5,3,4,4,4,4,3,3,3,Oui,0.12,Non,0,3,26,3,RessourcesHumaines,Aucun,4,4
24,M,2774,Marie,Consulting,Consultant,0,6,5,3,2,3,1,3,3,3,3,Non,0.12,Non,1,2,18,1,InfraCloud,Occasionnel,1,2
34,F,4505,Divorce,Consulting,AssistantdeDirection,6,12,1,0,3,2,2,2,3,3,3,Non,0.15,Non,1,3,6,4,InfraCloud,Occasionnel,0,0
37,M,7428,Celibataire,Commercial,CadreCommercial,2,12,5,3,3,3,3,4,1,3,3,Non,0.12,Non,0,3,3,3,InfraCloud,Occasionnel,1,3
34,F,11631,Celibataire,Consulting,SeniorManager,2,14,11,10,3,2,3,1,4,3,3,Non,0.12,Non,0,6,5,3,TransformationDigitale,Occasionnel,5,8
36,F,9738,Marie,Commercial,CadreCommercial,0,10,9,7,2,3,3,4,3,3,3,Non,0.14,Non,1,6,11,2,Entrepreunariat,Frequent,2,8
36,F,2835,Divorce,Consulting,Consultant,5,7,1,0,1,3,1,4,1,3,4,Non,0.22,Non,1,2,3,2,InfraCloud,Occasionnel,0,0
43,M,16959,Marie,Commercial,SeniorManager,1,25,25,12,3,3,4,4,4,4,3,Oui,0.12,Non,2,3,26,2,InfraCloud,Frequent,4,12
30,M,2613,Divorce,Consulting,AssistantdeDirection,1,10,10,7,1,1,1,3,3,2,4,Non,0.25,Non,3,2,23,3,InfraCloud,Frequent,0,9
33,M,6146,Marie,Commercial,CadreCommercial,0,8,7,7,3,3,2,2,1,4,3,Non,0.13,Non,1,2,22,2,Marketing,Aucun,0,7
56,F,4963,Marie,Consulting,AssistantdeDirection,9,7,5,4,2,3,1,2,1,3,3,Oui,0.18,Oui,3,2,14,4,InfraCloud,Occasionnel,4,3
51,M,19537,Celibataire,Consulting,DirecteurTechnique,7,23,20,18,1,3,5,3,3,3,3,Non,0.13,Non,0,5,6,3,InfraCloud,Occasionnel,15,15
31,M,6172,Marie,Commercial,CadreCommercial,4,12,7,7,2,1,2,3,2,2,3,Oui,0.18,Oui,0,3,6,4,InfraCloud,Occasionnel,7,7
26,F,2368,Marie,Consulting,AssistantdeDirection,1,5,5,4,3,2,1,2,3,2,3,Non,0.19,Non,0,3,6,3,Autre,Occasionnel,4,3
58,F,10312,Marie,Consulting,Manager,1,40,40,10,4,3,3,4,4,2,3,Non,0.12,Oui,1,3,23,4,TransformationDigitale,Occasionnel,15,6
19,M,1675,Celibataire,Commercial,ReprésentantCommercial,1,0,0,0,4,3,1,3,4,2,3,Oui,0.19,Oui,0,2,22,1,Marketing,Occasionnel,0,0
22,M,2523,Marie,Consulting,Consultant,0,3,2,1,3,3,1,4,3,3,3,Non,0.14,Non,1,2,2,1,Entrepreunariat,Occasionnel,2,1
49,F,6567,Marie,Consulting,TechLead,1,16,15,11,3,3,2,1,3,2,3,Non,0.14,Non,0,2,20,4,TransformationDigitale,Occasionnel,5,11
43,F,4739,Celibataire,Consulting,AssistantdeDirection,4,18,3,2,2,4,1,3,4,3,3,Non,0.12,Non,0,2,28,3,TransformationDigitale,Frequent,1,2
50,F,9208,Celibataire,Commercial,CadreCommercial,4,16,2,2,3,3,3,4,4,3,3,Non,0.11,Non,0,3,12,3,Marketing,Frequent,2,1
31,F,4559,Marie,Commercial,CadreCommercial,3,4,2,2,2,1,2,3,3,3,3,Oui,0.11,Oui,1,2,20,3,InfraCloud,Occasionnel,2,2
41,M,8189,Divorce,Commercial,CadreCommercial,3,12,9,7,3,3,3,3,3,3,3,Oui,0.13,Non,1,2,9,1,InfraCloud,Occasionnel,0,7
26,F,2942,Marie,RessourcesHumaines,RessourcesHumaines,1,8,8,7,3,3,1,3,4,3,4,Non,0.23,Non,1,3,25,1,InfraCloud,Occasionnel,5,7
36,M,4941,Divorce,Consulting,TechLead,6,7,3,2,2,3,2,2,4,3,4,Non,0.2,Non,2,0,6,2,TransformationDigitale,Occasionnel,0,1
51,M,10650,Celibataire,Consulting,TechLead,2,18,4,2,1,1,3,4,4,3,3,Non,0.15,Oui,0,2,8,4,InfraCloud,Frequent,0,3
39,F,5902,Marie,Commercial,CadreCommercial,4,17,15,11,4,2,2,3,3,4,3,Non,0.14,Non,1,1,4,4,InfraCloud,Occasionnel,5,9
25,M,8639,Marie,Commercial,CadreCommercial,2,6,2,2,1,2,2,3,4,3,3,Non,0.18,Non,0,3,28,3,InfraCloud,Occasionnel,2,2
30,M,6347,Marie,RessourcesHumaines,RessourcesHumaines,0,12,11,9,3,3,2,4,4,1,3,Oui,0.19,Non,0,2,9,3,RessourcesHumaines,Occasionnel,4,7
32,F,4200,Celibataire,Consulting,Consultant,7,10,5,4,1,3,1,1,1,4,4,Non,0.22,Oui,0,2,9,3,TransformationDigitale,Occasionnel,0,4
45,M,3452,Celibataire,Consulting,AssistantdeDirection,5,9,6,5,3,3,1,4,2,2,3,Non,0.13,Non,0,2,29,3,TransformationDigitale,Occasionnel,0,3
38,F,4317,Celibataire,Consulting,AssistantdeDirection,3,19,3,2,4,3,2,3,2,3,4,Oui,0.2,Non,0,2,3,5,Entrepreunariat,Occasionnel,2,2
30,F,2632,Celibataire,Consulting,AssistantdeDirection,1,5,5,4,1,3,1,3,3,2,3,Non,0.14,Non,0,4,18,3,InfraCloud,Occasionnel,0,4
32,M,4668,Divorce,Commercial,CadreCommercial,0,9,8,7,4,1,2,4,4,4,3,Non,0.17,Non,3,2,9,2,TransformationDigitale,Frequent,0,7
30,F,3204,Divorce,Consulting,AssistantdeDirection,5,8,3,2,4,3,1,1,4,3,3,Non,0.14,Non,1,3,5,3,Entrepreunariat,Occasionnel,2,2
30,M,2720,Celibataire,Consulting,Consultant,0,6,5,3,2,2,1,4,4,3,3,Non,0.13,Non,0,3,2,1,TransformationDigitale,Occasionnel,1,2
41,M,17181,Divorce,Consulting,SeniorManager,4,21,7,6,4,2,4,1,2,2,3,Non,0.13,Non,1,2,10,3,InfraCloud,Frequent,7,7
41,M,2238,Marie,Consulting,Consultant,2,7,5,0,3,3,1,1,4,3,4,Non,0.21,Non,1,2,9,4,InfraCloud,Occasionnel,1,4
19,F,1483,Celibataire,Consulting,Consultant,1,1,1,0,2,3,1,2,4,3,3,Non,0.14,Non,0,3,3,1,TransformationDigitale,Occasionnel,0,0
40,F,5605,Divorce,Consulting,AssistantdeDirection,1,20,20,7,2,3,2,2,1,3,3,Non,0.11,Non,1,2,26,3,TransformationDigitale,Frequent,2,13
35,M,7295,Marie,Commercial,CadreCommercial,1,10,10,8,3,3,3,2,1,3,3,Non,0.13,Non,2,3,1,5,Marketing,Occasionnel,0,6
53,M,2306,Marie,Commercial,ReprésentantCommercial,2,13,7,7,2,3,2,3,4,1,4,Oui,0.2,Non,1,3,6,2,Marketing,Occasionnel,4,5
45,M,2348,Divorce,Consulting,Consultant,8,20,17,9,2,3,2,2,3,1,3,Non,0.18,Non,1,2,9,3,InfraCloud,Occasionnel,0,15
32,F,8998,Celibataire,Commercial,CadreCommercial,1,9,9,8,2,3,3,4,4,3,3,Non,0.14,Non,0,2,8,3,Marketing,Frequent,3,7
29,M,4319,Marie,Consulting,TechLead,1,10,10,7,4,3,2,3,1,3,3,Non,0.13,Non,1,1,1,1,Entrepreunariat,Aucun,0,9
51,M,6132,Marie,Consulting,TechLead,2,10,1,0,2,2,2,3,3,3,3,Non,0.17,Non,0,2,7,4,TransformationDigitale,Occasionnel,0,0
58,F,3346,Marie,Consulting,AssistantdeDirection,4,9,1,0,2,2,1,2,2,2,4,Oui,0.2,Non,1,3,9,3,TransformationDigitale,Occasionnel,0,0
40,M,10855,Marie,Commercial,CadreCommercial,7,15,12,11,3,2,3,4,1,2,3,Non,0.11,Non,1,2,4,4,Marketing,Occasionnel,2,11
34,F,2231,Marie,Commercial,ReprésentantCommercial,6,6,4,3,3,3,1,3,4,3,3,Non,0.18,Non,1,3,2,4,Marketing,Frequent,1,2
22,M,2323,Marie,Consulting,AssistantdeDirection,1,2,2,2,3,3,1,4,1,3,4,Non,0.24,Non,2,6,19,1,TransformationDigitale,Occasionnel,2,2
