genre,revenu_mensuel,annees_dans_l_entreprise,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augmentation_salaire_precedente_pourcent,distance_domicile_travail,niveau_education,frequence_deplacement,annees_depuis_la_derniere_promotion,experience_externe,score_satisfaction,augmentation_par_formation,pee_par_anciennete,a_suivi_formation,tranche_age,statut_marital_Celibataire,statut_marital_Divorce,statut_marital_Marie,departement_Commercial,departement_Consulting,departement_RessourcesHumaines,poste_AssistantdeDirection,poste_CadreCommercial,poste_Consultant,poste_DirecteurTechnique,poste_Manager,poste_ReprésentantCommercial,poste_RessourcesHumaines,poste_SeniorManager,poste_TechLead,domaine_etude_Autre,domaine_etude_Entrepreunariat,domaine_etude_InfraCloud,domaine_etude_Marketing,domaine_etude_RessourcesHumaines,domaine_etude_TransformationDigitale,promotion_recente,a_quitte_l_entreprise
0,5010,11,2,3,3,1,3,3,0,0.16,6,4,1,5,1,2.25,16.0,0.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3419,1,2,2,1,4,4,3,1,0.14,5,4,1,0,5,2.75,3.5000000000000004,0.5,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,2373,3,1,3,2,4,3,3,1,0.13,16,4,1,0,2,2.5,4.333333333333333,0.25,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,10435,18,1,2,3,4,3,3,0,0.13,15,3,1,14,0,2.75,4.333333333333333,0.10526315789473684,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,10880,21,4,3,1,3,3,3,1,0.13,22,3,2,2,0,2.75,4.333333333333333,0.0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
0,16885,5,1,4,4,3,2,4,0,0.22,1,4,0,2,22,2.5,5.5,0.0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
0,2314,3,4,3,4,2,3,3,0,0.12,1,3,0,0,1,3.25,4.0,0.25,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,4081,20,1,2,3,1,1,3,1,0.14,6,3,1,1,0,1.5,3.5000000000000004,0.0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,12169,18,1,3,4,4,3,3,0,0.11,2,3,2,11,3,3.0,2.2,0.15789473684210525,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,2926,1,4,2,4,2,3,3,1,0.18,6,3,2,1,0,3.25,3.0,0.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
0,2086,1,4,3,4,3,4,3,0,0.14,5,3,1,0,18,3.75,2.0000000000000004,0.5,1,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
1,2585,1,3,4,3,4,2,3,0,0.17,20,3,1,0,1,3.0,2.8333333333333335,0.0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,5980,15,1,4,1,4,3,3,1,0.12,2,4,2,4,2,2.25,4.0,0.0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,4779,8,2,3,2,1,3,4,1,0.2,2,4,1,7,0,2.0,6.666666666666667,0.0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2367,4,3,2,4,1,2,3,0,0.12,17,3,1,0,2,2.5,4.0,0.2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1,5593,15,2,2,3,4,3,3,0,0.13,9,4,0,4,0,3.0,4.333333333333333,0.0625,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,4294,7,3,2,1,2,3,3,0,0.12,1,3,2,0,0,2.25,4.0,0.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1,5410,16,3,3,2,4,3,3,1,0.11,2,4,1,5,2,3.0,3.6666666666666665,0.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,8120,2,2,4,2,4,3,3,0,0.12,2,1,1,2,10,2.75,3.0,0.0,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,4522,5,3,3,3,4,3,3,1,0.14,8,4,1,0,3,3.25,3.5000000000000004,0.0,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,6583,5,3,3,4,4,3,3,1,0.11,10,2,1,1,3,3.5,3.6666666666666665,0.16666666666666666,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,5747,15,3,2,4,2,3,3,1,0.15,22,4,2,6,1,3.0,3.75,0.0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,3420,6,1,3,4,3,2,3,0,0.12,1,3,1,1,11,2.5,4.0,0.14285714285714285,1,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,5429,8,2,3,3,1,3,3,0,0.13,29,3,1,7,2,2.25,6.5,0.2222222222222222,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2014,2,4,3,4,1,3,3,0,0.13,2,3,1,2,0,3.0,3.25,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0,6261,7,4,3,4,1,1,3,0,0.18,29,3,1,1,2,2.5,4.5,0.125,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,1223,1,4,3,3,4,3,4,0,0.22,1,2,1,0,0,3.5,7.333333333333333,0.5,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,3161,1,4,3,3,4,1,4,1,0.22,24,3,2,0,18,3.0,22.0,0.5,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1,3785,5,4,2,1,2,1,3,0,0.14,28,4,1,0,0,2.0,3.5000000000000004,0.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,7083,10,4,2,3,4,3,3,1,0.14,1,3,1,8,0,3.5,3.5000000000000004,0.0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5674,9,2,3,2,3,3,3,0,0.15,24,4,0,0,2,2.5,3.75,0.1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,13577,33,4,2,2,4,3,3,1,0.15,8,1,0,15,1,3.25,3.75,0.029411764705882353,1,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,17159,4,2,3,1,3,3,4,0,0.24,14,2,1,1,18,2.25,6.0,0.2,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,4998,8,4,3,3,4,3,3,1,0.14,2,2,2,0,2,3.5,4.666666666666667,0.0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,4648,0,4,3,4,3,4,3,0,0.13,10,4,2,0,4,3.75,4.333333333333333,0.0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,6180,6,3,3,4,2,2,4,0,0.23,26,1,1,1,0,2.75,3.8333333333333335,0.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,4285,10,1,3,4,1,3,3,0,0.17,13,3,1,3,0,2.25,5.666666666666667,0.0,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,6632,8,2,1,3,1,3,3,0,0.13,2,2,1,3,1,2.25,3.25,0.0,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,2799,3,3,2,1,2,3,3,1,0.11,1,4,1,0,3,2.25,5.5,0.0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,3978,2,1,4,3,2,2,3,0,0.12,4,3,1,2,2,2.0,12.0,0.3333333333333333,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,4306,0,1,3,3,1,3,3,0,0.12,29,2,1,0,8,2.0,2.0,2.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,7991,2,2,2,2,3,3,3,0,0.15,26,2,0,2,4,2.5,3.75,0.0,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,7336,11,4,2,1,1,1,3,0,0.13,23,1,1,3,0,1.75,3.25,0.08333333333333333,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,1232,0,3,3,4,4,3,3,0,0.14,15,2,1,0,0,3.5,2.0000000000000004,0.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,19845,32,1,1,4,4,3,3,0,0.15,2,1,1,6,1,3.0,3.75,0.030303030303030304,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1,3920,3,3,2,1,1,2,3,0,0.14,1,2,1,0,14,1.75,4.666666666666667,0.25,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,5151,10,1,3,1,4,3,4,0,0.25,9,2,1,7,0,2.25,6.25,0.09090909090909091,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,2534,1,3,4,4,2,3,3,0,0.14,11,3,1,0,4,3.0,2.8000000000000003,0.5,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
0,6586,16,3,3,4,1,2,3,1,0.17,14,1,1,4,1,2.5,5.666666666666667,0.058823529411764705,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,6567,15,3,3,1,3,2,3,0,0.14,20,4,1,5,1,2.25,4.666666666666667,0.0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,3633,9,4,3,1,3,3,3,1,0.15,23,2,0,0,0,2.75,5.0,0.1,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,16704,21,4,2,2,3,3,3,0,0.11,28,2,1,8,0,3.0,3.6666666666666665,0.0,1,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3815,5,4,3,3,4,4,3,1,0.17,10,4,2,2,0,3.75,3.4,0.16666666666666666,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1,4788,3,4,2,2,4,3,3,1,0.11,16,2,1,0,1,3.25,3.6666666666666665,0.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
0,3600,5,2,3,3,4,3,3,0,0.13,2,3,1,1,0,3.0,4.333333333333333,0.16666666666666666,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
0,10400,14,4,1,4,3,2,3,0,0.11,4,4,1,9,0,3.25,3.6666666666666665,0.0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,5304,8,3,3,4,4,2,4,0,0.23,27,5,1,7,2,3.25,7.666666666666667,0.1111111111111111,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,8621,8,4,2,2,2,4,3,0,0.14,9,3,1,7,1,3.0,3.5000000000000004,0.0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,2322,0,3,3,1,3,3,3,0,0.13,2,1,1,0,3,2.5,3.25,1.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,5441,10,3,3,4,4,1,4,1,0.22,21,4,1,1,1,3.0,7.333333333333333,0.0,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,2154,4,4,3,3,3,2,3,1,0.11,1,4,2,0,1,3.0,3.6666666666666665,0.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1,5855,9,4,3,4,3,1,3,1,0.11,12,3,1,8,1,3.0,3.6666666666666665,0.2,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,7412,9,3,3,1,4,3,3,0,0.11,1,2,1,0,0,2.75,2.75,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,4936,5,2,2,4,4,3,3,0,0.13,8,2,1,0,1,3.25,1.8571428571428572,0.16666666666666666,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1,5154,8,3,3,3,2,4,4,0,0.22,2,4,0,5,2,3.0,5.5,0.2222222222222222,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,6472,9,4,3,4,4,3,3,1,0.15,1,3,0,5,0,3.75,5.0,0.1,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,2515,2,2,3,4,4,3,3,1,0.14,2,1,2,2,6,3.25,4.666666666666667,0.0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
