genre,revenu_mensuel,annee_experience_totale,annees_dans_l_entreprise,heure_supplementaires,a_quitte_l_entreprise,distance_domicile_travail,niveau_education,frequence_deplacement,annees_depuis_la_derniere_promotion,experience_externe,score_satisfaction,augmentation_par_formation,pee_par_anciennete,a_suivi_formation,tranche_age,statut_marital_Celibataire,statut_marital_Divorce,statut_marital_Marie,promotion_recente,poste_AssistantdeDirection,poste_CadreCommercial,poste_Consultant,poste_DirecteurTechnique,poste_Manager,poste_ReprésentantCommercial,poste_RessourcesHumaines,poste_SeniorManager,poste_TechLead
1,5376,10,5,0,0,1,3,2,1,5,2.0,4.75,0.3333333333333333,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
0,1951,1,1,0,0,4,2,1,0,0,3.5,3.0,0.5,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
1,2341,1,1,0,0,2,4,1,0,0,2.5,1.8571428571428572,0.5,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
0,2293,1,1,0,1,25,3,1,0,0,2.0,4.0,0.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,8726,9,9,0,0,8,3,2,1,0,3.5,15.0,0.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
1,4011,12,12,0,0,1,2,2,3,0,3.5,7.666666666666667,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,19545,23,22,0,1,12,3,1,15,1,2.5,12.0,0.0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0
0,4568,10,9,0,0,23,4,0,8,1,2.5,6.666666666666667,0.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
0,3022,8,1,0,0,19,2,1,0,7,2.0,10.5,0.0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0
0,5772,14,9,1,0,5,4,2,0,5,2.5,4.2,0.0,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0
0,2269,1,1,0,0,8,1,1,0,0,4.0,6.333333333333333,0.0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
0,5381,23,1,1,1,1,2,1,0,22,2.0,4.333333333333333,0.0,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0
0,3441,2,2,1,1,5,4,1,2,0,3.0,3.25,0.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,5454,9,4,1,0,1,5,1,1,5,1.5,7.0,0.2,1,3,0,1,0,1,0,1,0,0,0,0,0,0,0
0,9884,10,4,1,0,11,2,0,2,6,2.0,3.25,0.2,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0
1,4157,5,2,1,0,23,3,1,0,3,3.5,6.333333333333333,0.3333333333333333,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
1,13458,15,15,1,0,1,2,2,8,0,2.5,6.0,0.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0,9069,9,9,0,0,18,5,2,1,0,1.5,5.5,0.1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
1,4014,4,2,1,0,23,4,1,2,2,2.0,3.75,0.3333333333333333,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
0,5915,10,7,0,0,7,4,1,1,3,4.0,5.5,0.125,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
0,5993,7,7,0,0,1,4,1,0,0,2.0,6.0,0.125,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1
0,6162,9,9,1,0,1,3,1,7,0,2.5,5.5,0.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2406,10,10,0,0,29,5,2,9,0,4.0,3.6666666666666665,0.0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0
1,18740,29,27,1,0,7,2,1,13,2,2.5,4.0,0.03571428571428571,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0
1,7637,28,21,0,0,25,3,1,7,7,1.0,2.75,0.0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0
1,10096,17,17,0,0,8,3,1,12,0,3.0,4.333333333333333,0.16666666666666666,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1,14756,21,5,1,0,8,3,1,0,16,3.5,4.666666666666667,0.5,1,3,0,1,0,1,0,0,0,0,0,0,0,1,0
0,6499,6,6,0,0,11,3,2,0,0,2.0,3.25,0.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
0,9724,25,1,0,0,7,3,1,0,24,1.5,5.666666666666667,0.5,1,3,0,1,0,1,1,0,0,0,0,0,0,0,0
0,2194,5,3,0,0,1,3,2,1,2,1.5,4.333333333333333,0.25,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
0,3388,2,1,1,1,9,3,1,0,1,3.5,17.0,0.5,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
1,5473,20,4,0,0,1,1,2,1,16,2.0,3.6666666666666665,0.0,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0
0,2703,6,5,0,0,2,3,1,0,1,2.5,5.75,0.16666666666666666,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
0,2501,1,1,0,0,1,4,1,1,0,2.5,3.4,0.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
0,6220,10,10,0,0,1,3,1,0,0,2.0,4.25,0.18181818181818182,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
1,3038,5,1,0,0,6,3,1,0,4,3.0,3.0,0.0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
1,4424,11,11,0,0,8,4,1,1,0,3.5,7.666666666666667,0.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
0,4312,16,15,0,0,1,4,1,2,1,2.0,4.666666666666667,0.0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
0,13245,17,0,1,0,6,4,1,0,17,2.5,3.5,0.0,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0
0,13664,16,5,0,0,7,4,1,0,11,2.0,3.25,0.0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0
0,5021,16,4,1,0,5,2,1,0,12,2.0,7.333333333333333,0.2,1,3,0,1,0,1,0,0,0,0,0,0,1,0,0
0,5126,10,10,1,0,1,1,1,3,0,4.0,6.0,0.18181818181818182,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,2859,6,6,0,0,1,3,1,0,0,2.5,4.5,0.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
0,10239,24,1,0,0,1,2,1,1,23,2.5,2.8,0.5,1,3,0,0,1,1,0,1,0,0,0,0,0,0,0
1,5329,17,13,1,0,6,3,0,1,4,3.0,3.0,0.21428571428571427,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0
0,4325,5,5,0,0,1,2,1,1,0,1.5,5.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
0,7260,37,6,0,0,7,3,1,0,31,4.0,2.75,0.0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1
0,2322,3,0,0,0,2,1,1,0,3,2.0,3.25,1.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
0,2075,10,4,0,0,9,4,1,0,6,4.0,4.6,0.4,1,3,0,0,1,1,0,0,1,0,0,0,0,0,0
0,4152,11,11,0,0,2,3,1,10,0,3.5,4.75,0.25,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,9619,9,9,0,1,9,2,1,4,0,3.5,4.0,0.0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0
0,13503,22,22,0,0,1,4,2,11,0,2.5,5.5,0.043478260869565216,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0
0,5441,11,10,1,0,21,4,1,1,1,3.5,7.333333333333333,0.0,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0
1,5209,11,11,1,0,4,2,1,2,0,2.5,2.4,0.25,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
0,10673,21,10,1,0,1,3,2,9,11,2.0,2.1666666666666665,0.09090909090909091,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0
0,5010,12,11,0,0,6,4,1,5,1,2.5,16.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
1,13549,16,4,0,0,2,4,1,0,12,2.0,2.0,0.2,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0
1,4999,4,3,0,0,3,2,1,0,1,2.0,7.0,0.25,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
0,4221,5,5,0,0,4,3,0,0,0,2.5,3.75,0.0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
0,13872,38,37,0,0,10,4,1,1,1,3.5,6.5,0.0,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0
0,2042,17,3,0,0,23,3,0,1,14,2.0,3.0,0.25,1,3,0,0,1,1,0,0,1,0,0,0,0,0,0
0,2073,7,3,1,1,6,4,1,0,4,2.0,5.5,0.0,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0
0,2956,1,1,0,0,1,1,1,0,0,2.5,4.333333333333333,0.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
1,2926,1,1,1,1,6,3,2,1,0,4.0,3.0,0.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,4809,16,16,0,0,6,4,1,2,0,2.0,3.5,0.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
0,5163,17,1,0,0,2,2,0,0,16,3.5,4.666666666666667,0.5,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0
1,18844,30,3,0,0,2,4,0,2,27,3.5,5.25,0.25,1,3,0,0,1,1,0,0,0,0,0,0,0,1,0
1,18172,28,8,1,0,1,3,2,0,20,1.5,9.5,0.0,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0
0,5744,6,6,1,1,5,3,1,0,0,3.0,5.5,0.0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
0,2889,2,2,0,0,7,1,1,2,0,4.0,3.6666666666666665,0.6666666666666666,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
1,2871,1,0,0,0,15,3,1,0,1,3.0,2.5,0.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,7484,23,13,0,0,1,4,2,12,10,1.0,10.0,0.0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0
0,6074,9,9,1,1,7,3,2,0,0,2.0,6.0,0.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
1,17328,23,5,1,0,26,3,0,4,18,4.0,3.0,0.0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0
0,2774,6,5,0,0,18,1,1,1,1,2.5,4.0,0.16666666666666666,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
1,4505,12,1,0,0,6,4,1,0,11,2.5,3.75,0.5,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
0,7428,12,5,0,0,3,3,1,1,7,3.5,3.0,0.0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0
1,11631,14,11,0,0,5,3,1,5,3,2.0,1.7142857142857142,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,9738,10,9,0,0,11,2,2,2,1,3.0,2.0,0.1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
1,2835,7,1,0,0,3,2,1,0,6,2.5,7.333333333333333,0.5,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
0,16959,25,25,1,0,26,2,2,4,0,3.5,3.0,0.07692307692307693,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0
0,2613,10,10,0,0,23,3,2,0,0,2.0,8.333333333333334,0.2727272727272727,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
0,6146,8,7,0,0,22,2,0,0,1,2.5,4.333333333333333,0.125,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
1,4963,7,5,1,1,14,4,1,4,2,2.0,6.0,0.5,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0
0,19537,23,20,0,0,6,3,1,15,3,2.0,2.1666666666666665,0.0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0
0,6172,12,7,1,1,6,4,1,7,5,2.5,4.5,0.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
1,2368,5,5,0,0,6,3,1,4,0,2.5,4.75,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,10312,40,40,0,1,23,4,1,15,0,4.0,3.0,0.024390243902439025,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1675,0,0,1,1,22,1,1,0,0,3.5,6.333333333333333,0.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
0,2523,3,2,0,0,2,1,1,2,1,3.5,4.666666666666667,0.3333333333333333,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
1,6567,16,15,0,0,20,4,1,5,1,2.0,4.666666666666667,0.0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1
1,4739,18,3,0,0,28,3,2,1,15,2.5,4.0,0.0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0
1,9208,16,2,0,0,12,3,2,2,14,3.5,2.75,0.0,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0
1,4559,4,2,1,1,20,3,1,2,2,2.5,3.6666666666666665,0.3333333333333333,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
0,8189,12,9,1,0,9,1,1,0,3,3.0,4.333333333333333,0.1,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0
1,2942,8,8,0,0,25,1,1,5,0,3.0,5.75,0.1111111111111111,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,4941,7,3,0,0,6,2,1,0,4,2.0,20.0,0.5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
0,10650,18,4,0,1,8,4,2,0,14,2.5,5.0,0.0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1
1,5902,17,15,0,0,4,4,1,5,2,3.5,7.0,0.0625,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0
0,8639,6,2,0,0,28,3,1,2,4,2.0,4.5,0.0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
0,6347,12,11,1,0,9,3,1,4,1,3.5,6.333333333333333,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,4200,10,5,0,1,9,3,1,0,5,1.0,7.333333333333333,0.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
0,3452,9,6,0,0,29,3,1,0,3,3.5,4.333333333333333,0.0,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0
1,4317,19,3,1,0,3,5,1,2,16,3.5,6.666666666666667,0.0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0
1,2632,5,5,0,0,18,3,1,0,0,2.0,2.8,0.0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
0,4668,9,8,0,0,9,2,2,0,1,4.0,5.666666666666667,0.3333333333333333,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
1,3204,8,3,0,0,5,3,1,2,5,2.5,3.5,0.25,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
0,2720,6,5,0,0,2,1,1,1,1,3.0,3.25,0.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,17181,21,7,0,0,10,3,2,7,14,2.5,4.333333333333333,0.125,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0
0,2238,7,5,0,0,9,4,1,1,2,2.0,7.0,0.16666666666666666,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0
1,1483,1,1,0,0,3,1,1,0,0,2.0,3.5,0.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,5605,20,20,0,0,26,3,2,2,0,2.0,3.6666666666666665,0.047619047619047616,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0
0,7295,10,10,0,0,1,5,1,0,0,2.5,3.25,0.18181818181818182,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
0,2306,13,7,1,0,6,2,1,4,6,2.5,5.0,0.125,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0
0,2348,20,17,0,0,9,3,1,0,3,2.0,6.0,0.05555555555555555,1,3,0,1,0,1,0,0,1,0,0,0,0,0,0
1,8998,9,9,0,0,8,3,2,3,0,3.0,4.666666666666667,0.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
0,4319,10,10,0,0,1,1,0,0,0,3.5,6.5,0.09090909090909091,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0,6132,10,1,0,0,7,4,1,0,9,2.5,5.666666666666667,0.0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1
1,3346,9,1,1,0,9,3,1,0,8,2.0,5.0,0.5,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0
0,10855,15,12,0,0,4,4,1,2,3,3.5,3.6666666666666665,0.07692307692307693,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0
1,2231,6,4,0,0,2,4,2,1,2,3.0,4.5,0.2,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
0,2323,2,2,0,0,19,1,1,2,0,3.5,3.4285714285714284,0.6666666666666666,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
0,2024,6,2,0,0,9,3,0,2,4,3.0,9.0,0.3333333333333333,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
0,2713,5,5,0,0,21,3,1,0,0,3.5,3.6666666666666665,0.16666666666666666,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
0,9439,12,5,1,0,24,2,1,1,7,3.5,5.333333333333333,0.16666666666666666,1,3,0,1,0,1,0,0,0,0,1,0,0,0,0
0,2566,1,1,1,0,3,3,0,0,0,3.0,5.0,0.5,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1,19926,21,5,0,0,11,3,1,4,16,2.5,2.5,0.0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0
0,2451,13,9,0,0,14,3,1,1,4,2.0,4.0,0.1,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0
1,9419,12,10,0,0,5,3,1,7,2,3.0,4.0,0.09090909090909091,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,8686,12,8,0,0,1,4,1,0,4,2.5,7.333333333333333,0.0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0
0,3038,8,5,0,0,6,5,1,1,3,3.0,6.666666666666667,0.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
0,3058,6,5,1,0,17,3,1,1,1,2.5,4.0,0.16666666666666666,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
1,2325,1,0,0,1,1,1,2,0,1,2.0,3.5,0.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
0,2088,13,8,0,0,3,2,2,7,5,3.0,3.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
0,3072,12,12,0,0,9,3,0,6,0,2.0,2.2,0.15384615384615385,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,5006,9,5,1,0,4,2,1,0,4,2.0,2.75,0.16666666666666666,1,3,0,1,0,1,0,1,0,0,0,0,0,0,0
1,4257,19,2,1,0,8,3,1,2,17,2.0,4.5,0.3333333333333333,1,3,0,1,0,1,1,0,0,0,0,0,0,0,0
0,2500,4,3,0,0,2,3,1,0,1,3.5,4.666666666666667,0.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
0,1102,1,1,0,1,2,3,1,1,0,3.0,5.5,0.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,10453,24,24,0,0,1,2,1,15,0,1.5,8.333333333333334,0.12,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0
1,2288,2,2,0,0,9,2,1,2,0,3.5,3.0,0.0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0
1,3929,7,4,1,0,12,1,1,0,3,3.5,23.0,0.2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
1,2311,9,3,0,0,27,2,1,1,6,3.0,3.75,0.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
1,3140,4,4,1,1,20,2,1,0,0,2.0,3.6666666666666665,0.0,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0
0,3690,5,3,0,0,1,3,1,0,2,3.0,5.0,0.25,1,3,0,0,1,1,0,0,1,0,0,0,0,0,0
1,4450,5,4,0,0,13,2,1,1,1,2.5,2.75,0.4,1,3,0,1,0,1,0,0,0,0,0,0,0,0,1
1,2756,8,8,0,0,14,3,1,1,0,3.0,2.1666666666666665,0.1111111111111111,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
1,19033,21,20,0,0,4,1,1,9,1,3.5,4.666666666666667,0.047619047619047616,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0
0,18722,36,24,0,0,14,4,1,2,12,2.5,2.75,0.0,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0
0,9547,10,10,0,0,2,1,2,1,0,3.5,5.666666666666667,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
1,13734,21,7,0,0,3,3,1,1,14,3.0,2.5714285714285716,0.0,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0
0,19999,34,33,0,0,1,4,1,11,1,3.0,2.3333333333333335,0.029411764705882353,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0
1,2279,7,7,0,0,9,3,1,0,0,3.0,5.333333333333333,0.0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
0,5916,8,1,1,1,23,2,1,0,7,2.5,6.5,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
0,2089,7,5,0,0,7,3,0,2,2,4.0,3.5,0.5,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0
0,16792,22,20,0,0,2,2,0,11,2,2.5,11.5,0.047619047619047616,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0
0,3564,8,8,1,0,21,3,1,1,0,1.5,3.0,0.1111111111111111,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0
1,4425,10,6,0,0,2,3,2,1,4,2.0,1.8333333333333333,0.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
1,5265,11,5,0,0,21,2,0,0,6,3.0,2.6666666666666665,0.16666666666666666,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1
